lat_round,lon_round,count
41.645,-87.54,1
41.647,-87.617,1
41.65,-87.539,1
41.651,-87.617,1
41.651,-87.548,1
41.651,-87.527,1
41.652,-87.619,2
41.652,-87.618,1
41.652,-87.617,1
41.652,-87.613,2
41.653,-87.609,1
41.653,-87.605,1
41.653,-87.604,1
41.653,-87.602,1
41.653,-87.547,1
41.654,-87.614,1
41.654,-87.609,1
41.654,-87.607,1
41.654,-87.602,5
41.654,-87.597,1
41.655,-87.617,1
41.655,-87.616,1
41.655,-87.602,4
41.655,-87.597,1
41.655,-87.547,1
41.655,-87.546,1
41.656,-87.615,1
41.656,-87.614,1
41.656,-87.604,2
41.656,-87.602,2
41.656,-87.597,1
41.657,-87.608,1
41.657,-87.605,2
41.657,-87.602,1
41.657,-87.6,2
41.657,-87.598,1
41.657,-87.597,1
41.657,-87.547,1
41.658,-87.617,1
41.658,-87.613,1
41.658,-87.611,1
41.658,-87.606,1
41.658,-87.601,1
41.658,-87.544,1
41.659,-87.617,2
41.659,-87.61,1
41.659,-87.609,1
41.659,-87.603,1
41.659,-87.601,1
41.659,-87.549,1
41.66,-87.643,1
41.663,-87.645,2
41.663,-87.644,1
41.663,-87.641,1
41.663,-87.637,1
41.663,-87.62,1
41.664,-87.641,2
41.664,-87.625,1
41.665,-87.641,1
41.665,-87.64,1
41.665,-87.623,1
41.665,-87.622,1
41.666,-87.541,1
41.667,-87.635,1
41.668,-87.642,2
41.668,-87.636,1
41.668,-87.621,1
41.669,-87.632,1
41.669,-87.622,1
41.67,-87.642,1
41.67,-87.64,1
41.67,-87.639,1
41.67,-87.622,2
41.67,-87.617,1
41.671,-87.642,1
41.671,-87.637,1
41.672,-87.647,1
41.672,-87.646,1
41.672,-87.645,1
41.672,-87.644,1
41.672,-87.643,1
41.672,-87.642,1
41.672,-87.63,1
41.672,-87.626,1
41.672,-87.624,1
41.673,-87.641,1
41.673,-87.637,1
41.673,-87.626,2
41.673,-87.625,1
41.673,-87.62,1
41.674,-87.642,1
41.674,-87.632,1
41.674,-87.62,1
41.675,-87.624,1
41.675,-87.622,1
41.675,-87.602,1
41.676,-87.637,1
41.676,-87.629,1
41.676,-87.628,1
41.676,-87.62,2
41.677,-87.664,1
41.677,-87.642,4
41.677,-87.637,1
41.677,-87.633,3
41.677,-87.631,1
41.677,-87.629,1
41.677,-87.625,1
41.678,-87.662,1
41.678,-87.642,1
41.678,-87.636,1
41.678,-87.628,1
41.678,-87.623,3
41.678,-87.621,5
41.678,-87.619,1
41.679,-87.662,3
41.679,-87.657,1
41.679,-87.635,1
41.679,-87.63,1
41.679,-87.627,1
41.679,-87.623,1
41.679,-87.621,1
41.679,-87.618,1
41.68,-87.662,1
41.68,-87.661,1
41.68,-87.66,1
41.68,-87.634,3
41.68,-87.626,1
41.68,-87.621,2
41.681,-87.644,1
41.681,-87.642,8
41.681,-87.64,1
41.681,-87.621,2
41.682,-87.67,1
41.682,-87.646,1
41.682,-87.642,2
41.682,-87.634,1
41.682,-87.617,1
41.683,-87.642,1
41.683,-87.641,1
41.683,-87.63,1
41.683,-87.629,1
41.683,-87.615,1
41.683,-87.545,1
41.684,-87.663,1
41.684,-87.658,1
41.684,-87.625,1
41.685,-87.663,1
41.685,-87.66,1
41.685,-87.652,1
41.685,-87.645,1
41.685,-87.643,2
41.685,-87.642,4
41.685,-87.635,2
41.685,-87.631,2
41.685,-87.622,1
41.685,-87.621,1
41.685,-87.612,1
41.685,-87.611,1
41.686,-87.656,1
41.686,-87.642,1
41.686,-87.636,2
41.686,-87.634,2
41.686,-87.631,2
41.686,-87.624,1
41.686,-87.621,1
41.686,-87.616,1
41.686,-87.612,1
41.686,-87.601,1
41.687,-87.661,1
41.687,-87.647,1
41.687,-87.626,1
41.687,-87.619,1
41.687,-87.612,1
41.688,-87.671,1
41.688,-87.642,1
41.688,-87.634,1
41.688,-87.629,1
41.688,-87.626,1
41.688,-87.622,2
41.688,-87.621,1
41.688,-87.619,1
41.688,-87.612,1
41.688,-87.606,1
41.688,-87.531,1
41.689,-87.658,2
41.689,-87.653,1
41.689,-87.624,1
41.689,-87.622,1
41.689,-87.621,1
41.69,-87.663,1
41.69,-87.654,1
41.69,-87.645,1
41.69,-87.644,1
41.69,-87.642,1
41.69,-87.635,1
41.69,-87.628,1
41.69,-87.622,1
41.69,-87.621,2
41.69,-87.62,1
41.69,-87.618,2
41.69,-87.54,1
41.691,-87.707,1
41.691,-87.664,1
41.691,-87.63,1
41.691,-87.623,3
41.691,-87.621,1
41.691,-87.535,1
41.692,-87.702,2
41.692,-87.646,1
41.692,-87.642,4
41.692,-87.641,1
41.692,-87.637,1
41.692,-87.635,1
41.692,-87.633,1
41.692,-87.626,2
41.692,-87.624,1
41.692,-87.623,7
41.692,-87.621,2
41.692,-87.618,2
41.693,-87.701,1
41.693,-87.642,1
41.693,-87.631,1
41.693,-87.629,2
41.693,-87.627,1
41.693,-87.624,1
41.693,-87.619,2
41.693,-87.61,1
41.693,-87.604,1
41.693,-87.539,1
41.694,-87.641,1
41.694,-87.629,1
41.694,-87.622,1
41.694,-87.621,1
41.695,-87.708,1
41.695,-87.638,1
41.695,-87.631,1
41.695,-87.624,1
41.696,-87.626,2
41.696,-87.623,2
41.696,-87.621,2
41.696,-87.613,1
41.696,-87.611,1
41.696,-87.596,1
41.697,-87.681,2
41.697,-87.643,1
41.697,-87.615,1
41.697,-87.612,1
41.697,-87.611,1
41.697,-87.543,1
41.698,-87.664,1
41.698,-87.657,1
41.698,-87.631,1
41.698,-87.625,1
41.698,-87.624,1
41.698,-87.622,1
41.699,-87.721,1
41.699,-87.67,1
41.699,-87.644,1
41.699,-87.624,1
41.699,-87.623,1
41.699,-87.621,1
41.699,-87.56,1
41.699,-87.539,1
41.7,-87.656,1
41.7,-87.628,2
41.7,-87.627,1
41.7,-87.619,1
41.7,-87.614,3
41.7,-87.612,1
41.7,-87.563,1
41.7,-87.535,3
41.7,-87.53,1
41.701,-87.646,1
41.701,-87.643,2
41.701,-87.625,1
41.701,-87.62,1
41.701,-87.618,2
41.701,-87.612,1
41.701,-87.607,1
41.701,-87.535,1
41.702,-87.645,1
41.702,-87.629,1
41.702,-87.626,1
41.702,-87.539,2
41.703,-87.65,1
41.703,-87.643,1
41.703,-87.638,1
41.703,-87.632,1
41.703,-87.629,1
41.703,-87.628,1
41.703,-87.622,1
41.703,-87.614,2
41.703,-87.563,1
41.703,-87.54,1
41.703,-87.536,3
41.703,-87.526,1
41.704,-87.683,1
41.704,-87.645,1
41.704,-87.631,1
41.704,-87.62,1
41.704,-87.605,1
41.704,-87.564,1
41.704,-87.535,1
41.705,-87.682,1
41.705,-87.646,1
41.705,-87.642,1
41.705,-87.636,2
41.705,-87.634,1
41.705,-87.628,1
41.705,-87.626,1
41.705,-87.623,1
41.705,-87.621,1
41.705,-87.619,1
41.705,-87.616,1
41.705,-87.607,1
41.705,-87.604,1
41.705,-87.603,1
41.705,-87.538,1
41.706,-87.703,1
41.706,-87.687,1
41.706,-87.682,1
41.706,-87.643,1
41.706,-87.64,1
41.706,-87.639,1
41.706,-87.634,1
41.706,-87.62,1
41.706,-87.604,1
41.706,-87.601,1
41.706,-87.566,1
41.706,-87.56,2
